context,question,answer
"Luật Đấu thầu số 22/2023/QH15 Điều 55. Lựa chọn nhà thầu cung cấp thuốc, hóa chất, vật tư xét nghiệm, thiết bị y tế khoản 3 . Trường hợp các cơ sở khám bệnh, chữa bệnh tư nhân không chọn áp dụng quy định của Luật này đối với mua thuốc, hóa chất, vật tư xét nghiệm, thiết bị y tế thì cơ sở khám bệnh, chữa bệnh đó chỉ được thanh toán từ nguồn quỹ bảo hiểm y tế theo đúng giá mặt hàng thuốc, hóa chất, vật tư xét nghiệm, thiết bị y tế theo đơn giá đã trúng thầu của các cơ sở khám bệnh, chữa bệnh công lập tuyến tỉnh, tuyến trung ương hoặc cơ sở khám bệnh, chữa bệnh cùng cấp chuyên môn kỹ thuật trên cùng địa bàn; nếu không có giá trúng thầu của cơ sở khám bệnh, chữa bệnh công lập tuyến tỉnh, tuyến trung ương hoặc cơ sở khám bệnh, chữa bệnh cùng cấp chuyên môn kỹ thuật trên cùng địa bàn thì thực hiện theo quy định của Chính phủ.","Luật nào quy định về trường hợp cơ sở khám chữa bệnh tư nhân không áp dụng quy định đấu thầu trong mua thuốc, hóa chất, vật tư xét nghiệm, thiết bị y tế?",Luật Đấu thầu
"Luật Đấu thầu số 22/2023/QH15 Điều 61. Xét duyệt trúng thầu đối với đấu thầu cung cấp dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp khoản 1 . Nhà thầu cung cấp dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp được xem xét, đề nghị trúng thầu khi đáp ứng đủ các điều kiện sau đây:  Có hồ sơ dự thầu, hồ sơ đề xuất hợp lệ;  Có năng lực, kinh nghiệm đáp ứng yêu cầu của hồ sơ mời thầu, hồ sơ yêu cầu;  Có đề xuất kỹ thuật đáp ứng yêu cầu của hồ sơ mời thầu, hồ sơ yêu cầu;  Có giá trị phần sai lệch thiếu không quá 10% giá dự thầu;  Đối với phương pháp giá thấp nhất: có giá dự thầu sau sửa lỗi, hiệu chỉnh sai lệch, trừ đi giá trị giảm giá (nếu có) thấp nhất; đối với phương pháp giá đánh giá: có giá đánh giá thấp nhất; đối với phương pháp kết hợp giữa kỹ thuật và giá: có điểm tổng hợp cao nhất;  Có giá đề nghị trúng thầu không vượt giá gói thầu được phê duyệt.","Điều nào trong Luật Đấu thầu số 22/2023/QH15 quy định về các điều kiện xét duyệt trúng thầu đối với đấu thầu dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp?",Điều 61
"điểm a khoản 1 Điều 56 của Luật Đấu thầu và các thông tin cần thiết khác;  Việc tham vấn thị trường thực hiện theo một hoặc các cách sau: tham khảo các kết quả tham vấn thị trường gần nhất đối với hàng hóa, dịch vụ tương tự; đăng tải câu hỏi tham vấn thị trường trên các phương tiện thông tin phù hợp; nghiên cứu catalô và các tài liệu giới thiệu sản phẩm của hãng sản xuất, nhà cung cấp, nhà phân phối, đại lý; tham khảo kinh nghiệm của các chủ đầu tư khác đã tiến hành tham vấn thị trường, tham vấn kết quả tổ chức lựa chọn nhà thầu đối với gói thầu mua sắm hàng hóa, dịch vụ tương tự; tổ chức hội nghị tham vấn thị trường với các nhà thầu tiềm năng trên cơ sở công khai, minh bạch; tổ chức khảo sát thông tin từ các đơn vị sản xuất kinh doanh; tham khảo ý kiến của các chuyên gia trong lĩnh vực có liên quan, các báo in, tạp chí, ấn phẩm phân tích thị trường chuyên ngành, thông tin trên Internet và các hình thức phù hợp khác;  Chủ đầu tư có thể thuê tư vấn nghiên cứu phân tích thị trường, sử dụng ý kiến tư vấn của các chuyên gia hoặc cơ quan chức năng độc lập hoặc của các doanh nghiệp trên thị trường trong việc lập kế hoạch tổng thể lựa chọn nhà thầu, kế hoạch lựa chọn nhà thầu, hồ sơ mời thầu, hồ sơ yêu cầu nhưng phải đảm bảo nguyên tắc cạnh tranh, công bằng và minh bạch;  Trường hợp không lập kế hoạch tổng thể lựa chọn nhà thầu, chủ đầu tư có thể tiến hành tham vấn thị trường để lập kế hoạch lựa chọn nhà thầu, hồ sơ mời thầu, hồ sơ yêu cầu.","Những cách tham vấn thị trường là gì, theo khoản 1 Điều 56 của Luật Đấu thầu?","các phương tiện thông tin phù hợp; nghiên cứu catalô và các tài liệu giới thiệu sản phẩm của hãng sản xuất, nhà cung cấp, nhà phân phối, đại lý; tham khảo kinh nghiệm của các chủ đầu tư khác"
Luật Đấu thầu số 22/2023/QH15 Điều 91. Quy trình giải quyết kiến nghị về lựa chọn nhà thầu khoản 2 . Việc giải quyết kiến nghị sau khi có thông báo kết quả lựa chọn nhà thầu được thực hiện theo một trong hai quy trình sau đây:  Nhà thầu gửi đơn kiến nghị đến chủ đầu tư trong thời hạn 10 ngày kể từ ngày kết quả lựa chọn nhà thầu được đăng tải trên Hệ thống mạng đấu thầu quốc gia. Chủ đầu tư phải có văn bản giải quyết kiến nghị gửi nhà thầu trong thời hạn 07 ngày làm việc kể từ ngày nhận được đơn kiến nghị của nhà thầu. Trường hợp nhà thầu không đồng ý với kết quả giải quyết kiến nghị hoặc quá thời hạn quy định tại khoản này mà chủ đầu tư không có văn bản giải quyết kiến nghị thì nhà thầu có quyền gửi đơn kiến nghị đến người có thẩm quyền thông qua bộ phận thường trực trong thời hạn 05 ngày làm việc kể từ ngày hết hạn giải quyết kiến nghị hoặc ngày nhận được văn bản giải quyết kiến nghị của chủ đầu tư. Người có thẩm quyền ban hành quyết định giải quyết kiến nghị về kết quả lựa chọn nhà thầu trong thời hạn 05 ngày làm việc kể từ ngày nhận được ý kiến bằng văn bản của Hội đồng tư vấn giải quyết kiến nghị;  Nhà thầu gửi đơn kiến nghị đến người có thẩm quyền thông qua bộ phận thường trực trong thời hạn 10 ngày kể từ ngày kết quả lựa chọn nhà thầu được đăng tải trên Hệ thống mạng đấu thầu quốc gia. Người có thẩm quyền ban hành quyết định giải quyết kiến nghị về kết quả lựa chọn nhà thầu trong thời hạn 05 ngày làm việc kể từ ngày nhận được ý kiến bằng văn bản của Hội đồng tư vấn giải quyết kiến nghị.,Nhà thầu phải làm gìtrong thời hạn 10 ngày kể từ ngày kết quả lựa chọn nhà thầu được đăng tải trên Hệ thống mạng đấu thầu quốc gia?,gửi đơn kiến nghị đến người có thẩm quyền thông qua bộ phận thường trực
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 128. Thẩm định kế hoạch tổng thể lựa chọn nhà thầu khoản 4 . Trước khi ký báo cáo thẩm định, đơn vị thẩm định có thể tổ chức họp giữa các bên để trao đổi các nội dung nếu thấy cần thiết.",Điều kiện nào trước khi đơn vị thẩm định ký báo cáo thẩm định theo Điều 128 Nghị định số 22/2022/NĐ-CP?,tổ chức họp giữa các bên để trao đổi các nội dung nếu thấy cần thiết
"Luật Đấu thầu số 22/2023/QH15 Điều 82. Trách nhiệm của nhà thầu, nhà đầu tư khoản 5 . Thực hiện trách nhiệm khác theo quy định của Luật này và quy định khác của pháp luật có liên quan.","Trách nhiệm của nhà thầu, nhà đầu tư tại khoản 5 Luật Đấu thầu số 22/2023/QH15 Điều 82 là gì?",Thực hiện trách nhiệm khác theo quy định của Luật này và quy định khác của pháp luật có liên quan
"Luật Đấu thầu số 22/2023/QH15 Điều 53. Mua sắm tập trung khoản 5 . Đối với hàng hóa, dịch vụ không thuộc danh mục mua sắm tập trung nhưng nhiều cơ quan, tổ chức, đơn vị có nhu cầu mua sắm hàng hóa, dịch vụ cùng loại thì có thể gộp thành một gói thầu để một trong các cơ quan, tổ chức, đơn vị mua sắm hoặc để đơn vị có chức năng mua sắm tập trung thực hiện việc mua sắm.","Luật nào quy định về việc mua sắm tập trung khi nhiều cơ quan có nhu cầu mua sắm hàng hóa, dịch vụ cùng loại?",Luật Đấu thầu số 22/2023/QH15
"Luật Đấu thầu số 22/2023/QH15 Điều 8. Cung cấp và đăng tải thông tin về đấu thầu khoản 4 . Thông tin quy định tại các điểm a, d, g, h, i khoản 1 và các điểm a, d, đ, e khoản 2 Điều 7 của Luật này phải được đăng tải trên Hệ thống mạng đấu thầu quốc gia chậm nhất là 05 ngày làm việc kể từ ngày văn bản được ban hành hoặc hợp đồng có hiệu lực.","Theo Khoản 4 Điều 8 của Luật Đấu thầu số 22/2023/QH15, những thông tin nào phải được đăng tải trên Hệ thống mạng đấu thầu quốc gia trong vòng 05 ngày làm việc kể từ ngày có hiệu lực?","Thông tin quy định tại các điểm a, d, g, h, i khoản 1 và các điểm a, d, đ, e khoản 2 Điều 7 của Luật"
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 40 Điều 61. Lựa chọn danh sách ngắn khoản 1. Đối với đấu thầu rộng rãi:  Mở và đánh giá hồ sơ quan tâm: Hồ sơ quan tâm được nộp trong thời hạn và địa điểm quy định tại hồ sơ mời quan tâm sẽ được mở ngay sau thời điểm đóng thầu. Việc mở hồ sơ quan tâm phải được lập thành biên bản, gửi cho các nhà thầu nộp hồ sơ quan tâm; được đăng tải trên Hệ thống mạng đấu thầu quốc gia trong thời hạn 24 giờ kể từ thời điểm mở thầu. Hồ sơ quan tâm được gửi đến sau thời điểm đóng thầu là không hợp lệ, không được mở và bị loại; Việc đánh giá hồ sơ quan tâm thực hiện theo tiêu chuẩn đánh giá quy định trong hồ sơ mời quan tâm. Hồ sơ quan tâm của nhà thầu có số điểm được đánh giá không thấp hơn mức điểm yêu cầu tối thiểu được đưa vào danh sách ngắn; hồ sơ quan tâm của nhà thầu có số điểm cao nhất được xếp thứ nhất; trường hợp có nhiều hơn 06 nhà thầu đạt yêu cầu thì lựa chọn 06 nhà thầu xếp hạng cao nhất vào danh sách ngắn;  Trình, thẩm định và phê duyệt kết quả mời quan tâm: Trên cơ sở báo cáo kết quả đánh giá hồ sơ quan tâm, bên mời thầu trình phê duyệt kết quả mời quan tâm, trong đó nêu rõ ý kiến của bên mời thầu về các nội dung đánh giá của tổ chuyên gia; Kết quả mời quan tâm được thẩm định theo quy định tại khoản 1 và khoản 2 Điều 131 của Nghị định này và được phê duyệt bằng văn bản căn cứ vào tờ trình phê duyệt, báo cáo thẩm định kết quả đánh giá hồ sơ quan tâm. Trường hợp lựa chọn được danh sách ngắn, văn bản phê duyệt kết quả mời quan tâm bao gồm tên các nhà thầu được lựa chọn vào danh sách ngắn và các nội dung cần lưu ý (nếu có). Trường hợp không lựa chọn được danh sách ngắn, văn bản phê duyệt kết quả mời quan tâm phải nêu rõ lý do không lựa chọn được danh sách ngắn;  Danh sách ngắn được đăng tải theo quy định tại điểm b khoản 1 Điều 8 của Luật Đấu thầu và thông báo đến các nhà thầu nộp hồ sơ quan tâm.",Kết quả mời quan tâm được thẩm định theo quy định nào theo Nghị định hướng dẫn Luật Đấu thầu số 22?,tại khoản 1 và khoản 2 Điều 131 của Nghị định này
"Nghị định hướng dẫn Luật Đấu thầu số 22 Điều 136. Quy định chuyển tiếp khoản 5 . Trường hợp dự án đầu tư được phân chia thành các dự án thành phần vận hành, khai thác độc lập hoặc công tác bồi thường, hỗ trợ, tái định cư được tách thành tiểu dự án riêng theo các quy định pháp luật, công tác lựa chọn nhà thầu các dự án thành phần, tiểu dự án được quản lý, thực hiện như đối với dự án độc lập. Người có thẩm quyền quyết định đầu tư các dự án thành phần, Chủ tịch Ủy ban nhân dân các cấp đối với tiểu dự án bồi thường, hỗ trợ, tái định cư thực hiện thẩm quyền, trách nhiệm của người có thẩm quyền theo quy định tại Luật Đấu thầu và quy định tại Nghị định này trong việc tổ chức thực hiện công tác lựa chọn nhà thầu.","Trường hợp dự án đầu tư được phân chia thành các dự án thành phần vận hành, khai thác độc lập hoặc công tác bồi thường, hỗ trợ, tái định cư được xử lý như thế nào?",được tách thành tiểu dự án riêng theo các quy định pháp luật
